iter	Passed	Remaining
0	0	316
1	0	191
2	0	147
3	0	157
4	0	162
5	0	155
6	1	146
7	1	157
8	1	150
9	1	146
10	1	147
11	1	143
12	1	138
13	1	138
14	2	135
15	2	138
16	2	135
17	2	131
18	2	126
19	2	129
20	2	129
21	2	131
22	3	128
23	3	126
24	3	124
25	3	122
26	3	119
27	3	117
28	3	116
29	3	117
30	3	117
31	3	116
32	4	119
33	4	119
34	4	119
35	4	117
36	4	115
37	4	113
38	4	114
39	4	115
40	4	115
41	5	114
42	5	115
43	5	115
44	5	114
45	5	113
46	5	112
47	5	111
48	5	111
49	5	111
50	5	110
51	5	108
52	6	108
53	6	108
54	6	107
55	6	108
56	6	108
57	6	107
58	6	108
59	6	109
60	7	108
61	7	108
62	7	107
63	7	109
64	7	112
65	8	115
66	8	116
67	8	117
68	8	117
69	8	119
70	9	119
71	9	119
72	9	119
73	9	120
74	9	120
75	9	121
76	10	121
77	10	120
78	10	122
79	10	124
80	11	130
81	11	131
82	12	135
83	13	146
84	13	146
85	13	146
86	13	146
87	14	145
88	14	144
89	14	144
90	14	145
91	14	146
92	15	149
93	16	155
94	16	159
95	17	160
96	17	160
97	17	159
98	17	158
99	17	158
100	17	158
101	18	158
102	18	157
103	18	156
104	18	156
105	18	155
106	18	154
107	18	156
108	19	155
109	19	155
110	19	154
111	19	154
112	19	154
113	19	153
114	20	154
115	20	153
116	20	155
117	20	155
118	20	154
119	20	153
120	21	152
121	21	152
122	21	151
123	21	151
124	21	150
125	21	149
126	21	149
127	21	148
128	21	147
129	21	146
130	22	146
131	22	145
132	22	144
133	22	143
134	22	142
135	22	142
136	22	141
137	22	142
138	22	141
139	22	140
140	23	143
141	23	142
142	23	141
143	23	141
144	23	140
145	23	140
146	24	139
147	24	139
148	24	139
149	24	138
150	24	138
151	24	137
152	24	137
153	25	137
154	25	137
155	25	136
156	25	136
157	25	135
158	25	135
159	25	134
160	25	134
161	25	133
162	25	133
163	26	132
164	26	132
165	26	131
166	26	131
167	26	131
168	26	130
169	26	129
170	26	129
171	26	128
172	26	128
173	27	128
174	27	127
175	27	127
176	27	126
177	27	126
178	27	125
179	27	125
180	27	124
181	27	124
182	27	123
183	27	123
184	27	122
185	28	122
186	28	122
187	28	122
188	28	122
189	28	121
190	28	121
191	28	120
192	28	120
193	28	119
194	28	119
195	29	119
196	29	118
197	29	119
198	29	118
199	29	118
200	29	118
201	29	118
202	29	117
203	30	117
204	30	117
205	30	116
206	30	116
207	30	116
208	30	116
209	30	115
210	30	115
211	30	114
212	31	114
213	31	114
214	31	113
215	31	113
216	31	113
217	31	112
218	31	112
219	31	112
220	31	111
221	31	111
222	31	111
223	32	110
224	32	110
225	32	110
226	32	110
227	32	109
228	32	109
229	32	109
230	32	109
231	32	109
232	33	108
233	33	108
234	33	108
235	33	107
236	33	107
237	33	107
238	33	106
239	33	106
240	33	106
241	33	106
242	34	106
243	34	105
244	34	105
245	34	105
246	34	105
247	34	104
248	34	104
249	34	104
250	34	103
251	34	103
252	35	103
253	35	103
254	35	103
255	35	103
256	35	102
257	35	102
258	35	102
259	35	102
260	35	101
261	36	101
262	36	101
263	36	101
264	36	100
265	36	100
266	36	100
267	36	100
268	36	100
269	36	99
270	37	99
271	37	99
272	37	99
273	37	99
274	37	98
275	37	98
276	37	98
277	37	98
278	37	97
279	37	97
280	37	96
281	37	96
282	38	96
283	38	96
284	38	95
285	38	95
286	38	95
287	38	95
288	38	95
289	38	94
290	38	94
291	38	94
292	39	94
293	39	93
294	39	93
295	39	93
296	39	93
297	39	93
298	39	92
299	39	92
300	39	92
301	40	92
302	40	92
303	40	92
304	40	91
305	40	91
306	40	91
307	40	91
308	40	90
309	40	90
310	40	90
311	40	90
312	41	90
313	41	90
314	41	89
315	41	89
316	41	89
317	41	89
318	41	89
319	41	88
320	41	88
321	41	88
322	42	88
323	42	88
324	42	87
325	42	87
326	42	87
327	42	87
328	42	87
329	42	86
330	42	86
331	42	86
332	42	86
333	42	85
334	43	85
335	43	85
336	43	85
337	43	85
338	43	84
339	43	84
340	43	84
341	43	84
342	43	84
343	44	83
344	44	83
345	44	83
346	44	83
347	44	83
348	44	83
349	44	83
350	44	82
351	44	82
352	45	82
353	45	82
354	45	82
355	45	81
356	45	81
357	45	81
358	45	81
359	45	81
360	45	81
361	45	80
362	46	80
363	46	80
364	46	80
365	46	80
366	46	80
367	46	79
368	46	79
369	46	79
370	46	79
371	46	79
372	47	79
373	47	78
374	47	78
375	47	78
376	47	78
377	47	78
378	47	77
379	47	77
380	47	77
381	47	77
382	47	77
383	47	76
384	48	76
385	48	76
386	48	76
387	48	76
388	48	75
389	48	75
390	48	75
391	48	75
392	48	75
393	48	75
394	49	75
395	49	74
396	49	74
397	49	74
398	49	74
399	49	74
400	49	74
401	49	74
402	49	73
403	50	73
404	50	73
405	50	73
406	50	73
407	50	73
408	50	73
409	50	73
410	51	73
411	51	73
412	51	72
413	51	72
414	51	72
415	51	72
416	51	72
417	51	71
418	51	71
419	51	71
420	52	71
421	52	71
422	52	71
423	52	70
424	52	70
425	52	70
426	52	70
427	52	70
428	52	70
429	52	70
430	53	70
431	53	69
432	53	69
433	53	69
434	53	69
435	53	69
436	53	69
437	53	69
438	54	69
439	54	68
440	54	68
441	54	68
442	54	68
443	54	68
444	54	68
445	54	68
446	54	67
447	54	67
448	55	67
449	55	67
450	55	67
451	55	66
452	55	66
453	55	66
454	55	66
455	55	66
456	55	66
457	55	66
458	56	66
459	56	65
460	56	65
461	56	65
462	56	65
463	56	65
464	56	65
465	56	65
466	56	64
467	56	64
468	57	64
469	57	64
470	57	64
471	57	64
472	57	64
473	57	63
474	57	63
475	57	63
476	57	63
477	57	63
478	57	63
479	58	62
480	58	62
481	58	62
482	58	62
483	58	62
484	58	62
485	58	62
486	58	62
487	59	62
488	59	61
489	59	61
490	59	61
491	59	61
492	59	61
493	59	61
494	59	61
495	59	60
496	60	60
497	60	60
498	60	60
499	60	60
500	60	60
501	60	60
502	60	60
503	60	59
504	60	59
505	61	59
506	61	59
507	61	59
508	61	59
509	61	59
510	61	58
511	61	58
512	62	58
513	62	58
514	62	58
515	62	58
516	62	58
517	62	58
518	62	58
519	62	57
520	62	57
521	63	57
522	63	57
523	63	57
524	63	57
525	63	57
526	63	57
527	63	57
528	64	57
529	64	56
530	64	56
531	64	56
532	64	56
533	64	56
534	64	56
535	64	56
536	64	55
537	64	55
538	64	55
539	65	55
540	65	55
541	65	55
542	65	54
543	65	54
544	65	54
545	65	54
546	65	54
547	65	54
548	65	54
549	66	54
550	66	53
551	66	53
552	66	53
553	66	53
554	66	53
555	66	53
556	66	53
557	66	52
558	66	52
559	67	52
560	67	52
561	67	52
562	67	52
563	67	52
564	67	52
565	67	51
566	67	51
567	68	51
568	68	51
569	68	51
570	68	51
571	68	51
572	68	50
573	68	50
574	68	50
575	68	50
576	68	50
577	69	50
578	69	50
579	69	50
580	69	50
581	69	49
582	69	49
583	69	49
584	69	49
585	69	49
586	70	49
587	70	49
588	70	48
589	70	48
590	70	48
591	70	48
592	70	48
593	70	48
594	70	48
595	70	47
596	70	47
597	70	47
598	70	47
599	71	47
600	71	47
601	71	47
602	71	47
603	71	46
604	71	46
605	71	46
606	71	46
607	71	46
608	72	46
